caseID,Activity,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17
257,e,3,0,0,1,1,3,1,2,0,1,2,0,0,0,0,1,0
257,f,3,0,0,1,1,3,1,2,0,1,2,0,0,0,0,1,0
257,k,3,0,0,1,1,3,1,2,0,1,2,0,0,0,0,1,0
257,d,3,0,0,1,1,3,1,2,0,1,2,0,0,0,0,1,0
257,l,3,0,0,1,1,3,1,2,0,1,2,0,0,0,0,1,0
257,n,3,0,0,1,1,3,1,2,0,1,2,0,0,0,0,1,0
257,o,3,0,0,1,1,3,1,2,0,1,2,0,0,0,0,1,0
258,a,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
258,e,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
258,j,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
258,h,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
258,k,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
258,g,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
258,f,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
258,d,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
258,d,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
258,o,1,1,0,1,1,1,3,2,0,0,1,1,0,0,0,0,0
259,a,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,e,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,b,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,c,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,g,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,h,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,c,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,c,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,j,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,e,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,f,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,n,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
259,o,2,1,1,1,1,6,1,3,0,0,2,0,0,0,0,1,0
260,a,3,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,0
260,g,3,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,0
260,h,3,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,0
260,j,3,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,0
260,f,3,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,0
260,e,3,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,0
260,n,3,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,0
260,m,3,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,0
260,o,3,1,0,1,1,1,1,2,0,1,3,0,0,0,0,0,0
261,a,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,e,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,i,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,g,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,i,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,c,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,g,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,f,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,n,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,l,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
261,o,1,1,0,2,1,3,1,3,0,0,4,2,0,0,0,1,0
262,a,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
262,j,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
262,g,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
262,b,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
262,k,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
262,f,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
262,e,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
262,d,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
262,n,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
262,o,1,1,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0
263,a,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,i,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,d,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,c,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,j,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,h,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,j,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,f,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,d,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,n,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,e,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
263,o,2,0,1,2,1,3,3,2,1,0,3,2,0,0,0,1,0
264,a,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,c,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,g,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,e,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,h,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,d,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,f,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,d,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,n,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,m,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
264,o,2,1,0,1,1,3,1,1,0,1,2,0,0,0,0,1,0
265,a,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,b,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,j,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,i,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,g,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,c,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,e,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,h,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,k,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,g,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,d,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,f,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,d,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,n,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,l,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
265,o,2,0,1,1,0,2,3,2,1,1,2,2,0,0,0,0,0
